State,Must wear mask since,Politic
Alabama,15-07-20,Red
Alaska,,Red
Arizona,,Red
Arkansas,20-07-20,Red
California,18-06-20,Blue
Colorado,17-07-20,Red
Connecticut,20-04-20,Blue
Delaware,28-04-20,Blue
Florida,,Red
Georgia,,Red
Hawaii,20-04-20,Blue
Idaho,,Red
Illinois,01-05-20,Blue
Indiana,27-07-20,Red
Iowa,,Red
Kansas,03-07-20,Red
Kentucky,11-05-20,Red
Louisiana,13-07-20,Red
Maine,01-05-20,Blue
Maryland,18-04-20,Blue
Massachusetts,06-05-20,Blue
Michigan,18-06-20,Red
Minnesota,25-07-20,Blue
Mississippi,,Red
Missouri,,Red
Montana,16-07-20,Red
Nebraska,,Red
Nevada,24-06-20,Blue
New Hampshire,11-08-20,Blue
New Jersey,08-04-20,Blue
New Mexico,16-05-20,Blue
New York,17-04-20,Blue
North Carolina,26-06-20,Red
North Dakota,,Red
Ohio,23-07-20,Red
Oklahoma,,Red
Oregon,01-07-20,Blue
Pennsylvania,19-04-20,Red
Rhode Island,08-05-20,Blue
South Carolina,,Red
South Dakota,,Red
Tennessee,,Red
Texas,03-07-20,Red
Utah,,Red
Vermont,01-08-20,Blue
Virginia,29-05-20,Blue
Washington,26-06-20,Blue
West Virginia,06-07-20,Red
Wisconsin,01-08-20,Red
Wyoming,,Red
